timestamp,latitude,longitude,altitude
1771837046393851366,40.3548488608491,-3.7412596312544264,676.330538935902
1771837046493295047,40.354848860101875,-3.7412596431637812,676.3302366319793
1771837046599033741,40.354848858590564,-3.741259655525004,676.3299588358138
1771837046693554903,40.35484885506834,-3.7412596698375906,676.3297894783299
1771837046794324107,40.354848836286145,-3.7412595706216822,676.3350691802941
1771837046893314286,40.35484883405039,-3.7412595764930976,676.3348694603715
1771837046993796518,40.35484882928021,-3.7412595824214088,676.3344876294993
1771837047093373129,40.35484881220863,-3.741259588413645,676.3330975487517
1771837047193808853,40.35484876865825,-3.741259590742211,676.3309963983021
1771837047293782979,40.35484868240119,-3.7412595890874223,676.329489556806
1771837047393783146,40.35484854307923,-3.741259589489114,676.3287765516491
1771837047493274934,40.35484834559392,-3.741259585273126,676.3286389385734
1771837047598901979,40.35484809335279,-3.74125956765751,676.3288990480947
1771837047693522009,40.35484779429325,-3.741259545858781,676.3288668934154
1771837047793873525,40.35484753958339,-3.741259452446544,676.3272606051074
1771837047893232830,40.35484715992347,-3.741259418831628,676.3273420217687
1771837047993746421,40.35484673739275,-3.741259383019179,676.3271503942718
1771837048093382639,40.35484626756047,-3.741259342930221,676.3273365707481
1771837048194101467,40.354845753909004,-3.741259300448428,676.3272565376689
1771837048293427374,40.354845195783845,-3.741259252970555,676.3272738773119
1771837048393838922,40.35484459376237,-3.7412592040569868,676.3271097830476
1771837048493460455,40.35484394836289,-3.741259144467446,676.326821592494
1771837048594250091,40.35484325843832,-3.741259078678612,676.3266595230746
1771837048693568081,40.35484252793898,-3.7412590100980965,676.3266025436714
1771837048793865092,40.35484181975664,-3.741258924633616,676.3274926285338
1771837048893418461,40.354841019332234,-3.741258845532137,676.3279035791578
1771837048993844007,40.354840186586074,-3.74125876109887,676.3283407255269
1771837049093463174,40.354839323334495,-3.741258681568909,676.3285768395754
1771837049193735044,40.354838429633695,-3.7412586051833707,676.3287870648646
1771837049293411720,40.354837511558976,-3.741258526798007,676.3287715314548
1771837049393723575,40.3548365690493,-3.7412584497458234,676.3284405764463
1771837049493294111,40.3548356083419,-3.7412583696397546,676.3282077280046
1771837049598965176,40.35483463548475,-3.741258283883309,676.3279559332685
1771837049693451928,40.35483365257434,-3.7412582046438967,676.3276154684706
1771837049793901069,40.35483272349356,-3.741258190742702,676.3294795131799
1771837049893243097,40.35483172484878,-3.7412581226541253,676.3293679961541
1771837049993757591,40.35483071828987,-3.7412580417739183,676.329573121508
1771837050093382839,40.354829708559436,-3.7412579465791604,676.3301611697591
1771837050193709669,40.35482869954589,-3.741257851759978,676.33055421882
1771837050293348530,40.35482767852494,-3.7412577686446,676.33094155661
1771837050393747494,40.35482664144957,-3.741257695080253,676.331536574625
1771837050493419109,40.354825588467484,-3.7412576176343966,676.3318801268924
1771837050599202175,40.3548245175848,-3.74125753303622,676.3321775854143
1771837050693466600,40.354823424370224,-3.741257441842354,676.3332150082247
1771837050793940108,40.35482229318559,-3.7412574160633194,676.3311577587187
1771837050893286106,40.35482115469798,-3.74125732008005,676.3319035215494
1771837050993838634,40.35481999490537,-3.7412572280877865,676.3325739472896
1771837051093455442,40.35481881279335,-3.741257132912827,676.3335136386534
1771837051193797654,40.35481761059083,-3.7412570373190146,676.3345678522899
1771837051293345109,40.35481639185177,-3.7412569316556668,676.3350068003178
1771837051393737895,40.35481515730885,-3.74125683954914,676.3353487245882
