timestamp,latitude,longitude,altitude
1771579655301990323,40.354895251446706,-3.7412912493091723,676.2913955006342
1771579655401624084,40.354895255438024,-3.741291246078713,676.2915683186573
1771579655502541796,40.35489525892088,-3.7412912447067237,676.2917663735836
1771579655601754051,40.35489526249542,-3.741291241985354,676.2917543709789
1771579655702261814,40.35489524187924,-3.741291245109054,676.2912610812351
1771579655801714885,40.354895244605764,-3.7412912419221143,676.29143807123
1771579655902036089,40.35489524733984,-3.7412912389081665,676.2915589351276
1771579656001534132,40.354895250502395,-3.7412912355791432,676.2916849917242
1771579656102036196,40.35489525342928,-3.7412912314118687,676.2918605309393
1771579656201592267,40.35489525633507,-3.741291228055571,676.2919539709674
1771579656302049882,40.3548952592489,-3.741291224099196,676.2921709886705
1771579656401585038,40.354895261680355,-3.7412912204507247,676.292370229495
1771579656507103115,40.35489526474628,-3.7412912173913666,676.2924749101146
1771579656601728982,40.354895268060645,-3.741291213818467,676.2925126119222
1771579656702075219,40.35489524347871,-3.741291228411358,676.2919814161597
1771579656801551243,40.354895245099,-3.74129122509618,676.2920893444277
1771579656901964205,40.35489524632787,-3.7412912219509127,676.2924330237614
1771579657001561200,40.354895247292205,-3.7412912220021646,676.292651332818
1771579657102013485,40.35489524985918,-3.741291217800139,676.2924686107395
1771579657201539327,40.35489525298797,-3.7412912051666876,676.2927911254793
1771579657302036674,40.3548952537692,-3.7412911984369095,676.2933070478388
1771579657401608457,40.35489525478466,-3.7412912033947787,676.2932981758166
1771579657507286498,40.35489525650441,-3.7412912043910858,676.2933949196606
1771579657601828181,40.35489525802087,-3.7412911961916073,676.2935079315595
1771579657702281477,40.354895239103506,-3.7412912303559396,676.2930896856135
1771579657801705699,40.35489523899635,-3.7412912348400957,676.2931855989616
1771579657902131184,40.354895237357155,-3.7412912374963168,676.293367517606
1771579658001667386,40.35489523696397,-3.741291232109582,676.2936482676766
1771579658101881270,40.354895238028874,-3.741291226312376,676.2937767258588
1771579658201460328,40.35489523667443,-3.7412912279921775,676.2939551624995
1771579658301911692,40.35489523384067,-3.7412912318925495,676.2941805417041
1771579658401455545,40.354895233353716,-3.741291229821306,676.2943959004679
1771579658502265817,40.354895233267946,-3.74129122306954,676.2945866331145
1771579658601740015,40.354895230849756,-3.741291220415811,676.2946629356165
1771579658702152113,40.35489521116237,-3.741291248892747,676.294546284296
1771579658801428636,40.35489520876238,-3.741291249225824,676.2945777388841
1771579658901850820,40.35489519856602,-3.741291241389629,676.2944150799782
1771579659001441332,40.35489517646186,-3.741291231045767,676.2935852819357
1771579659101839129,40.35489513494741,-3.741291218465757,676.2928051549579
1771579659201507433,40.35489507550486,-3.741291201564852,676.2930105207638
1771579659301831729,40.354895006304254,-3.741291179542445,676.2935475856898
1771579659401419057,40.35489492607876,-3.74129115326611,676.2936607442989
1771579659507100619,40.354894828580456,-3.7412911238311333,676.2938747907574
1771579659601555117,40.354894711203244,-3.7412910866335465,676.2939361013088
1771579659702000339,40.35489459058596,-3.7412910657483627,676.2912599135806
1771579659801540274,40.3548944042806,-3.741291007667963,676.291324648048
1771579659901934561,40.3548941709205,-3.7412909383159807,676.2913478824872
1771579660001558852,40.35489388981295,-3.741290855008996,676.2915439439552
1771579660101845654,40.3548935618757,-3.7412907577862753,676.291992519581
1771579660201402961,40.354893190822416,-3.7412906452239145,676.2924014230363
1771579660301879421,40.354892778337,-3.7412905186097967,676.2925883596349
